step,loss,loss_num,loss_type,loss_order,loss_grammar,grad_norm,logit_max,weight_norm,lr,loss_total,loss_aux,aux_new_acc,aux_new_recall,aux_pos_acc,aux_merge_acc,aux_merge_recall,aux_count_acc,aux_count_mae,aux_cyc_acc,aux_period_acc,aux_period_mae
10,7.723198413848877,7.769373416900635,7.774508953094482,7.868999481201172,7.524919509887695,2.914179563522339,3.0080018043518066,1293.6219361124079,6.599999999999999e-06,8.983063697814941,4.199551105499268,0.5715636610984802,0.8108591437339783,0.03902826085686684,0.36996400356292725,0.19450132548809052,0.046875,10.453125,0.014995990321040154,0.0372130423784256,10.454243659973145
20,7.471670627593994,7.608404159545898,7.186506748199463,7.661259174346924,7.2799577713012695,3.1232054233551025,3.2282261848449707,1293.6205631481484,1.26e-05,8.703295707702637,4.105416297912598,0.5395314693450928,0.7618774175643921,0.055492039769887924,0.4495181441307068,0.1482006162405014,0.0,13.859375,0.012002145871520042,0.028175923973321915,9.91641902923584
30,7.258077621459961,7.499667644500732,6.784611225128174,7.3744425773620605,6.884040832519531,2.879145860671997,3.122497081756592,1293.6176119966276,1.8599999999999998e-05,8.460925102233887,4.009491443634033,0.6174532175064087,0.7097275853157043,0.04409005865454674,0.5864191055297852,0.12054188549518585,0.046875,11.234375,0.016394685953855515,0.07233533263206482,10.231704711914062
40,6.795426368713379,7.3953375816345215,5.687073707580566,6.886261463165283,6.482802867889404,2.953446626663208,3.616365432739258,1293.611875000475,2.4599999999999998e-05,7.945083141326904,3.832188606262207,0.6680828332901001,0.7013353705406189,0.04556792974472046,0.726294755935669,0.05999999865889549,0.015625,9.796875,0.036679696291685104,0.16524185240268707,8.90624713897705
50,6.459607124328613,7.249415874481201,4.628256320953369,6.549376964569092,5.915875434875488,2.6486659049987793,4.2958245277404785,1293.6025009356078,3.06e-05,7.549505710601807,3.6329946517944336,0.7254551649093628,0.6590296626091003,0.07607794553041458,0.8205456733703613,0.026663215830922127,0.0625,5.4375,0.12897372245788574,0.25471964478492737,8.001174926757812
60,6.304873943328857,7.342426776885986,4.114398956298828,6.210115909576416,5.584681510925293,2.224813222885132,4.938777923583984,1293.5896994474174,3.6599999999999995e-05,7.321320056915283,3.388153553009033,0.8283058404922485,0.7659599781036377,0.20338091254234314,0.878882646560669,0.0065019503235816956,0.140625,5.0,0.3560359477996826,0.3972306251525879,5.7978973388671875
70,5.858955383300781,6.81812047958374,3.800570487976074,5.973225116729736,5.087397575378418,2.354961633682251,5.697912693023682,1293.5737690313506,4.259999999999999e-05,6.76186466217041,3.0096967220306396,0.8504000902175903,0.7444515228271484,0.4151622951030731,0.876330554485321,0.0034443167969584465,0.171875,5.078125,0.6587426662445068,0.4854342043399811,4.7423319816589355
80,5.619546413421631,7.162703990936279,2.9071736335754395,5.492191791534424,4.933588027954102,2.302128553390503,6.580224514007568,1293.554847798989,4.8599999999999995e-05,6.486525535583496,2.88992977142334,0.8733801245689392,0.8003333806991577,0.44905784726142883,0.8691089749336243,0.002160994103178382,0.125,7.03125,0.5105870962142944,0.4784497916698456,4.215113162994385
90,5.118725299835205,6.600903034210205,2.214237689971924,5.394424915313721,4.110293865203857,2.005366325378418,7.111368179321289,1293.5338169202619,5.459999999999999e-05,5.945018768310547,2.7543110847473145,0.8921292424201965,0.8225948810577393,0.429767906665802,0.8748071789741516,0.0005603810423053801,0.15625,6.46875,0.5768261551856995,0.4634343087673187,5.904291152954102
100,5.0463948249816895,6.386851787567139,2.1465604305267334,4.9950947761535645,4.061474800109863,1.7053825855255127,7.868979454040527,1293.510869337408,6.0599999999999996e-05,5.7858076095581055,2.464709758758545,0.9353964924812317,0.9361565709114075,0.5211151242256165,0.8758201599121094,0.0011293054558336735,0.15625,7.3125,0.6445326209068298,0.5679848194122314,4.831888675689697
110,4.543203830718994,5.977097034454346,1.7526711225509644,4.952409267425537,3.268770933151245,1.5870006084442139,8.20185661315918,1293.4855280490551,6.659999999999999e-05,5.341497421264648,2.660977840423584,0.938174307346344,0.9131918549537659,0.41361990571022034,0.8678470253944397,0.0013390465173870325,0.171875,6.65625,0.521867036819458,0.45888811349868774,6.758675575256348
120,4.800632953643799,6.492959499359131,1.7338480949401855,4.3824143409729,3.469329833984375,1.3289072513580322,8.545312881469727,1293.4591008449413,7.259999999999999e-05,5.498433589935303,2.3260014057159424,0.9306934475898743,0.9265084862709045,0.4909668564796448,0.8646125793457031,0.0,0.140625,7.046875,0.6700209975242615,0.5507791638374329,3.4525222778320312
130,4.421686172485352,6.195446014404297,1.5680235624313354,4.095386505126953,2.9076120853424072,1.2819364070892334,8.662022590637207,1293.4299593759881,7.86e-05,5.127396106719971,2.3523662090301514,0.9337295293807983,0.9406892657279968,0.500477135181427,0.8596891760826111,0.0012712941970676184,0.15625,6.046875,0.6204855442047119,0.5284515023231506,4.158277988433838
140,4.118552207946777,5.832578182220459,1.2075860500335693,4.367237091064453,2.497562885284424,1.2571070194244385,8.646682739257812,1293.398502937258,8.459999999999998e-05,4.793899059295654,2.2511556148529053,0.9327173829078674,0.9136204719543457,0.6181197762489319,0.8872907757759094,0.0030693677254021168,0.09375,6.828125,0.6600139737129211,0.538730800151825,5.483104228973389
150,4.007828235626221,5.887789726257324,1.2075881958007812,3.773555278778076,2.1805496215820312,1.133573293685913,8.700428009033203,1293.3635827679632,9.059999999999999e-05,4.662295818328857,2.181558609008789,0.9396904110908508,0.9320770502090454,0.5776582360267639,0.8820904493331909,0.006468685809522867,0.171875,6.109375,0.6840810775756836,0.609838604927063,4.791549205780029
160,4.051026344299316,6.0446038246154785,0.9807749390602112,3.6717841625213623,1.9779049158096313,1.0034898519515991,8.721468925476074,1293.325016638586,9.659999999999999e-05,4.779463291168213,2.428123712539673,0.950141191482544,0.9491559267044067,0.5526933670043945,0.8965505361557007,0.008893280290067196,0.140625,6.421875,0.5372337102890015,0.43946266174316406,5.455129623413086
170,3.8713583946228027,5.8598408699035645,0.8641855716705322,3.3902623653411865,2.0035336017608643,0.9469621181488037,8.849943161010742,1293.2833089822159,0.0001026,4.538931846618652,2.2252440452575684,0.9425230622291565,0.936618447303772,0.5985723733901978,0.8781923055648804,0.006876790896058083,0.125,6.546875,0.6180312633514404,0.5307058691978455,4.945349216461182
180,3.4427647590637207,5.2940449714660645,0.767116367816925,3.255218744277954,1.456074833869934,0.9386820197105408,9.122589111328125,1293.2398942304444,0.00010859999999999998,4.098164081573486,2.184664726257324,0.9493201375007629,0.940710723400116,0.6257081627845764,0.8815693259239197,0.01166180707514286,0.234375,4.09375,0.5852281451225281,0.41680908203125,5.240906715393066
190,3.4016921520233154,5.566082954406738,0.7060555219650269,2.9463388919830322,1.5142379999160767,1.1934276819229126,9.362442016601562,1293.1933767795367,0.0001146,4.040078639984131,2.127955436706543,0.9245948791503906,0.876177966594696,0.5848855376243591,0.8771442174911499,0.019757267087697983,0.234375,4.625,0.6356675028800964,0.5251312255859375,4.07329797744751
